,word,score
0,絡む,-0.00500876863953
1,労働生産性,-0.00182129852474
2,文行,-0.00874743973836
3,表される,0.0
4,園,-0.019770488143
5,遂げる,0.0071829632856
6,恐怖症,0.0240393739194
7,上院,0.0170380206546
8,下さない,0.00559085868299
9,高見,-0.00259724552743
10,國,0.0143426716328
11,全日本,0.000678499788046
12,幸利,0.0165671112016
13,圏,0.00202520247549
14,上陸,1.05950050056e-05
15,ソーラー,-0.0115769283846
16,光学機器,0.0162837121403
17,変わらない,0.0191685036756
18,小田急,0.0142286740243
19,製鋼,-0.0146220976487
20,銅地金,-0.0169837841764
21,イニシアチブ,0.0121854851022
22,切り抜ける,0.0187533554621
23,無罪,-0.00739926965907
24,期末,0.00261582475505
25,ダンス,0.00147138312459
26,気前,0.0
27,熊谷組,0.00485476776958
28,圷,-0.00284798089415
29,東京メトロ,0.000370325066615
30,東武,-0.0263110278174
31,中心,0.0130903894082
32,ユーティリティ,-0.0132233012468
33,まん延する,-0.00826949626207
34,俊輔,0.0037870510947
35,貨物,-0.00472107761307
36,集まるだろう,0.00137583101168
37,整備新幹線,-0.00593565801391
38,海産物,-0.00701260743663
39,惜しまない,-0.00279920753092
40,需給動向,0.0334848402068
41,互換性,0.00755508691072
42,音響機器,0.00375650981441
43,組閣,0.000437218684237
44,ローズ,0.00808757264167
45,株価指数先物,0.0090555369854
46,両論,-0.0310842020437
47,井,-0.00484795295633
48,絶対,0.00708680301905
49,部屋,-0.0186969174072
50,デフレ,0.00140944756567
51,部局,-0.00159934572875
52,亜,0.0425117574632
53,森,0.006106752716
54,マーケティング,-0.0143359214067
55,断ち切る,-0.00876253023744
56,棒,-0.0296994924545
57,飾られる,-0.00756767783314
58,亨,0.0108058301732
59,時期,0.0268143941183
60,ノース,-0.00210525365546
61,亭,-0.00773276109248
62,京,-0.0220390442759
63,シカ,-0.00919064888731
64,棟,-0.0255765214562
65,疲労,-0.0145461842418
66,ブレーク,0.0220718096942
67,北朝鮮,0.00863023344427
68,設定,0.0162204898894
69,人,-0.0152770473622
70,アンバー,0.00949803972617
71,通例,-0.0174121253192
72,ゆがめる,-0.00271367761306
73,商戦,-0.00060793897137
74,濃い,-0.0062035636045
75,試すだろう,0.00518657583743
76,対価,-0.00069086169824
77,外交,0.0190470720641
78,中国語,0.00518104005605
79,比率,0.00478767734021
80,合わない,0.0208600239828
81,主戦,-0.00992214344442
82,金融商品,-0.000820457702503
83,判決,-0.00934781162068
84,対照,-0.0255290005356
85,いいる,0.00905034635216
86,来月,-0.00948703074828
87,盛り上げる,0.0220900102518
88,見せ始める,0.0063342965208
89,ブックス,0.0179367447272
90,無傷,-0.00645302515477
91,凌ぐ,0.00347610237077
92,ターム,0.000170780904591
93,徳島,0.0366591401398
94,圧縮,0.0108420785982
95,良品,0.00860433857888
96,返せる,0.00251777563244
97,切り込む,3.76213109121e-05
98,ターン,0.00342057971284
99,伸びない,0.00989411452902
100,即効,0.0127343416214
101,首席,-0.0170644386671
102,映る,-0.0375474516302
103,入院,-0.0231487227604
104,おもちゃ,-0.00602896129712
105,行儀,0.0
106,部長,-0.00107739984524
107,認められる,0.000250224210322
108,受注,0.191223794222
109,寸前,-0.0344595849514
110,つぶす,-0.0193911166396
111,ブロー,-0.0120094515383
112,後遺症,-0.0130352077074
113,進められない,-0.00361379422247
114,与野党,0.0207583404146
115,鈍る,0.0366871644743
116,とうた,0.00740600983845
117,お話,-0.00980483368039
118,沸き起こる,0.0
119,害する,-0.0193898304366
120,むける,0.00341576113133
121,安田,0.00538627998903
122,ほる,0.00600120415911
123,貸出,0.0227942923084
124,重たい,0.00400618240237
125,通さない,-0.0182633649558
126,ポリプロピレン,0.0153263028711
127,希望,0.00147814219818
